Protocol,Category,Technical Leader,Role,Twitter Handle,LinkedIn URL,Email Pattern,Technical Background,Protocol Status,TVL/Traction,Recent News (2025-2026),Podcast Value Score (1-10),Notes
Jupiter,DEX/Aggregator,Meow (pseudonymous),Co-Founder & CEO,@weremeow,Not public (pseudonymous),-,Ethereum ecosystem veteran; advised Kyber Network; created WBTC; deep DeFi engineering background,Active - Leading Solana DEX aggregator,"$70B+ lifetime volume; largest DEX on Solana","JupUSD stablecoin launch with Ethena; Jupuary 2026 incentives; Kalshi prediction market partnership",9,"Highly technical founder; pseudonymous but very active on podcasts; can speak to aggregator architecture, Solana DeFi evolution"
Jupiter,DEX/Aggregator,Siong Ong,Co-Founder,@siloong,Not public,-,Engineering lead; deep Rust/Solana development,Active,See above,See above,7,Technical co-founder; lower profile than Meow
Raydium,DEX/AMM,XRay (pseudonymous),CTO & Dev Team Lead,-,-,-,"8+ years trading systems; low-latency architecture; crypto market making since 2017",Active - Major Solana AMM,$200M+ TVL,"Continues to be core DEX liquidity provider",7,"Pseudonymous technical lead; strong algorithmic trading background"
Raydium,DEX/AMM,AlphaRay (pseudonymous),Co-Founder (Strategy),-,-,-,Commodity algorithmic trading; pivoted to crypto in 2017,Active,See above,See above,6,Strategy/ops focused but technical background
Orca,DEX/AMM,Yutaro Mori,Co-Founder (Technical),@rawfalafel,linkedin.com/in/yutaromori,-,"Eth 2.0 Golang client contributor; engineer at UMA; deep DeFi engineering",Active - Pure AMM,$100M+ TVL; $300B+ lifetime volume,"Continued Whirlpools innovation",8,"Forbes 30 Under 30; strong technical podcast guest with Eth+Solana perspective"
Orca,DEX/AMM,Grace 'Ori' Kwan,Co-Founder (Product),@oritheorca,linkedin.com/in/orikwan,-,"Stanford; programmer/designer; $19M Series A raised",Active,See above,See above,7,Product-focused but technical; great for UX/DeFi accessibility discussions
Drift Protocol,Perpetuals DEX,Cindy Leow,Co-Founder,@cindyleowtt,-,-,"Data science at Minerva Schools; 256 Capital/Ventures background; entered crypto 2016 with arbitrage",Active - Leading Perps DEX,"$25M Series B (Multicoin); dominant perps volume on Solana","Drift v2 expansion; prediction markets; 50x leverage; Web3 super app vision",9,"Female-led DeFi success story; can speak to perps architecture, Solana vs CEX"
Drift Protocol,Perpetuals DEX,David Lu,Co-Founder,@davidlu_xyz,-,-,"Angel investor; 20+ investments across funds; technical co-founder",Active,See above,See above,7,Technical co-founder; lower profile
Kamino Finance,Lending/Yield,Tal Zelig,CTO,-,-,-,"Veteran blockchain dev; experience at Bancor and Orbs; smart contract specialist",Active - Major lending protocol,$500M+ TVL peak,"Kamino 2.0; risk management innovations; economic hub for Solana DeFi",8,"Strong technical background from major DeFi protocols"
Kamino Finance,Lending/Yield,Marius Ciubotariu,Co-Founder,-,-,-,"Former C++ developer; Rust/Solana since 2021; built Hubble Protocol",Active,See above,See above,8,Founded Hubble which became Kamino; deep Solana development
Kamino Finance,Lending/Yield,Mark Hull,Co-Founder,-,-,-,DeFi protocol development; Hubble Protocol leadership,Active,See above,See above,7,Business/product focused co-founder
Ellipsis Labs (Phoenix),DEX/Orderbook,Eugene Chen,Co-Founder,@eugenexyz,linkedin.com/in/eugene-chen-a4940880,-,"High-frequency trading background; met co-founder in middle school; limit order book specialist",Active - Leading orderbook DEX,"$20M Series A (Paradigm); $70B+ trading volume; now building Atlas blockchain","Phoenix Perpetuals launch (Dec 2025); Atlas blockchain for verifiable finance",9,"HFT→DeFi journey; can speak to orderbook vs AMM, institutional DeFi"
Ellipsis Labs (Phoenix),DEX/Orderbook,Jarry Xiao,Co-Founder,@0xJarry,-,-,High-frequency trading background; technical architect,Active,See above,See above,8,Technical co-founder; lower public profile
Jito Labs,Staking/MEV,Zano Sherwani,Co-Founder & CTO,@0xSherwani,-,-,"Crypto since 2017; MEV infrastructure expertise; co-founded with Lucas in 2021",Active - Dominant MEV infrastructure,"$50M funding (a16z); largest MEV infra on Solana; billions in liquid staking","StakeNet decentralized liquid staking; continued MEV optimization",10,"Top-tier technical leader; can speak to MEV, liquid staking, Solana consensus"
Jito Labs,Staking/MEV,Lucas Bruder,Co-Founder & CEO,@bufalu,-,-,Technical background; MEV systems architecture,Active - Miami-based,See above,See above,8,CEO but technical; Bufalu alias
Marinade Finance,Liquid Staking,Jan Legner,Head of Technology,-,-,-,Technology lead for Marinade,Active - Largest native staking,"$1.5B+ AUM; SOC2 compliant; institutional focus","Alpenglow upgrade planning; institutional partnerships",7,Technical lead; less public facing
Marinade Finance,Liquid Staking,Michael Repetny,Co-Founder & CEO,@mfrep,linkedin.com/in/repetny,-,"Developer by training; product person; 100% bootstrapped company",Active,See above,See above,7,CEO with technical background; great bootstrapping story
Sanctum,Liquid Staking,FP Lee,Co-Founder,@fplee,-,-,"OG Solana builder since Feb 2021; helped build SPL stake pool; launched Socean",Active - Infinite LST vision,"Powered Jupiter, Bybit, Drift staking; major LST infrastructure","Sanctum V2 transaction delivery layer (Aug 2025); creator coins experiment",9,"Deep Solana staking expertise; can speak to LST architecture, infinite-LST future"
Save (Solend),Lending,Rooter (0xRooter),Founder,@0xrooter,-,-,"Full-time developer; led through whale crisis; built algorithm lending protocol",Active,"$300M+ TVL; OG Solana lending protocol","Rebranded to Save (Jul 2024); new LST and stablecoin; Suilend expansion to Sui",8,"Pseudonymous but active; navigated major crisis; can speak to lending architecture"
Mango Markets,Perpetuals/Lending,Maximilian Schneider,Co-Founder & CTO,-,-,-,"Smart contract developer; now contributing to Manifest orderbook",Active (recovering from exploit),"Peak $1B+ TVL; recovered from $110M exploit","Founder now working on Manifest (CKS Systems) orderbook",7,"Technical pioneer; can speak to DEX security, recovery from exploits"
Mango Markets,Perpetuals/Lending,Daffy Durairaj,Co-Founder & CEO,@daffydurairaj,-,-,Software engineering background; blockchain projects,Active,See above,See above,6,Working full-time for Mango DAO
Flash Trade,Perpetuals,Zoheb Shahzan,Founder,-,-,-,"DeFi engineer; asset-backed perpetuals specialist",Active - Growing perps DEX,"100x leverage; ephemeral rollup integration","Magic Blocks rollup integration for faster execution; significant growth",8,"Can speak to ephemeral rollups, Solana DeFi scaling"
Flash Trade,Perpetuals,Anas Khader,CEO & Co-Founder,@allinbitcoin_,-,-,DeFi building; perpetuals infrastructure,Active,See above,See above,7,Active on podcasts; business + technical
Meteora,DEX/LP,TRAV (pseudonymous),CTO,-,-,-,"Former Uniswap v3 and Curve contributor; designed DLMM and dynamic fee systems",Active - Major DEX,"> $1.1B TVL","Phoenix Rising Plan continued; DLMM innovations",8,"Top-tier DeFi engineering background from Uniswap/Curve"
Meteora,DEX/LP,Ben Chow,Co-Founder (former CEO),@hellochow,linkedin.com/in/hellochow,-,"Co-founder of Jupiter; Mercurial Finance origin; UX design background",Stepped down early 2025,See above,Resigned Feb 2025 amid controversy,5,"Former leader; resigned - may not be appropriate guest"
Sphere Pay,Payments,Arnold Lee,Co-Founder & CEO,@arnoldhlee,linkedin.com/in/arnoldhlee,-,"Built SpherePay cross-border API; SphereNet on Solana SVM",Active - Growing payments,"$5M Series A (Coinbase, Kraken); billions in processing","SphereNet mainnet (2025); stablecoin sandwich method for cross-border",8,"Payments-focused; can speak to stablecoins, cross-border, real-world use cases"
Dialect,Messaging/Blinks,Chris Osborn,Founder & CEO,@saydialect,linkedin.com/in/cbosborn,-,"Serial entrepreneur; Y Combinator alumnus; smart messaging pioneer",Active - Blinks protocol,Multicoin-backed; widespread Blinks adoption,"Blinks revolutionizing crypto UX; teleportable buttons; AI integration",8,"Can speak to consumer crypto, UX innovation, Blinks as new primitive"
Pyth Network,Oracle,Mike Cahill,Founder & CEO (Douro Labs),@mdomcahill,-,-,"Traditional finance background; built real-time oracle infrastructure",Active - Dominant oracle,"50+ chains; 300+ applications; first-party financial oracle","Continued expansion as 'electricity of finance'",8,"Infrastructure perspective; can speak to oracles, DeFi data needs"
Pyth Network,Oracle,Jayant Krishnamurthy,CTO,-,-,-,Technical architecture of Pyth oracle,Active,See above,See above,7,CTO role; may be good technical deep-dive
Parcl,Real Estate DeFi,Trevor Bacon,Co-Founder,-,-,-,"TradFi/Wall Street background; synthetic real estate trading",Active,"$160M+ airdrop; synthetic real estate perps","Appointed strategic advisor to BioSig/Streamex",7,"Unique RWA angle; real estate + crypto intersection"
Parcl,Real Estate DeFi,Kellan Grenier,Co-Founder & COO,@kellangrenier,parcllabs.com/team/kellan-grenier,-,"TradFi background; COO & Head of Strategy",Active,See above,See above,6,Operations focused
Loopscale,Lending/Credit,Mary Gooneratne,Co-Founder,@marygooneratne,-,-,"Fintech background; structured credit specialist; peer-to-peer lending architecture",Active - Growing credit protocol,"Series A; first RWA credit on Solana; recovered from $5.8M exploit","Sponsored vaults; Securitize ACRED integration; institutional DeFi",8,"Can speak to institutional DeFi, credit markets, fintech→crypto journey"
Dual Finance,Options,Britt Cyr,Co-Founder & CTO,@brittcyr,linkedin.com/in/britt-cyr-5b949634,b*****@dual.finance,"Former YouTube/Google engineer; now also contributing to Manifest orderbook",Active,Web3 options platform,"Contributing to CKS Systems Manifest orderbook",7,"Google→DeFi journey; options + orderbook expertise"
Tensor,NFT/Trading,Richard Wu,Co-Founder & CTO,@0xrwu,-,-,"10+ years combined experience; NFT exchange specialist",Active - Leading NFT marketplace,"$3M seed; leading Solana NFT marketplace","Memecoin app with 50% revenue to treasury",7,"Not strictly DeFi but trading infrastructure; can speak to NFT markets"
Helius,Infrastructure,Mert Mumtaz,Co-Founder & CEO,@0xMert_,-,-,"Ex-Coinbase; Solana infrastructure specialist; vocal Solana advocate",Active - Key infrastructure,"$9.5M Series A; leading RPC/API provider","BTS performance optimization system",8,"Infrastructure perspective; very active on podcasts; Solana ecosystem insights"
Wormhole,Bridge,Robinson Burkey,Co-Founder & CCO,@robinsonburkey,linkedin.com/in/robinsonburkey,-,"Ex-DoorDash growth; cross-chain messaging pioneer",Active - Major bridge,"30 chains; 200+ applications; billions bridged","NTT launch; Internet Capital Markets vision",7,"Cross-chain perspective; not strictly DeFi but key infrastructure"
Lido (Solana sunset),Liquid Staking,Konstantin Lomashuk,Co-Founder,-,-,-,"Senior engineer at Parity Technologies; liquid staking pioneer",Sunset on Solana,"Dominant on Ethereum; sunset Solana staking",N/A - no longer on Solana,3,"Major DeFi figure but exited Solana; historical perspective only"
Asgard Finance,Credit/DeFi,Unknown,Founder,-,-,-,Credit-backed positions; DeFi structured products,Active - Emerging,"$2.2M seed (Robot Ventures); $35M+ in CBP positions","Colosseum portfolio company; credit aggregator",6,"Emerging protocol; good story but unverified leadership"
Ore,Mining,Hardhat Chad (pseudonymous),Founder,-,-,-,"Novel proof-of-work on Solana; digital currency mining",Active - Hackathon winner,"$50K Colosseum Grand Prize; Renaissance hackathon winner","First mineable digital currency on Solana",6,"Interesting primitive; pseudonymous founder"
